_open_time,Open,High,Low,Close,Volume
2026-01-01 00:00:00,2971.65,2974.82,2971.15,2974.56,462.5299
2026-01-01 00:05:00,2974.57,2980.59,2974.57,2978.08,2128.4402
2026-01-01 00:10:00,2978.08,2978.5,2976.21,2976.22,208.9212
2026-01-01 00:15:00,2976.22,2978.0,2976.22,2977.62,129.3527
2026-01-01 00:20:00,2977.61,2979.9,2977.61,2978.42,165.1047
2026-01-01 00:25:00,2978.43,2980.31,2978.42,2979.75,154.981
2026-01-01 00:30:00,2979.74,2980.6,2978.49,2980.12,246.6371
2026-01-01 00:35:00,2980.11,2980.6,2978.42,2979.56,264.8395
2026-01-01 00:40:00,2979.57,2980.0,2979.0,2979.63,76.3077
2026-01-01 00:45:00,2979.64,2981.84,2979.11,2981.84,214.2853
2026-01-01 00:50:00,2981.84,2982.83,2980.25,2980.25,318.2876
2026-01-01 00:55:00,2980.25,2980.98,2979.8,2979.81,115.5621
2026-01-01 01:00:00,2979.81,2981.95,2979.8,2981.48,121.8038
2026-01-01 01:05:00,2981.48,2984.86,2981.0,2984.85,446.0509
2026-01-01 01:10:00,2984.85,2986.83,2983.56,2986.07,667.5411
2026-01-01 01:15:00,2986.07,2988.96,2985.15,2985.33,739.5399
2026-01-01 01:20:00,2985.33,2985.33,2982.76,2984.7,387.8894
2026-01-01 01:25:00,2984.69,2984.9,2982.42,2982.43,227.4696
2026-01-01 01:30:00,2982.42,2983.7,2981.02,2981.04,390.8749
2026-01-01 01:35:00,2981.04,2982.55,2979.18,2982.17,941.2713
2026-01-01 01:40:00,2982.17,2986.45,2982.17,2986.44,295.3078
2026-01-01 01:45:00,2986.45,2986.99,2984.4,2984.48,513.4236
2026-01-01 01:50:00,2984.49,2988.0,2984.49,2987.67,253.6722
2026-01-01 01:55:00,2987.68,2987.82,2984.2,2984.32,582.2678
2026-01-01 02:00:00,2984.33,2985.13,2983.33,2985.12,235.2069
2026-01-01 02:05:00,2985.12,2987.0,2985.12,2985.55,231.5298
2026-01-01 02:10:00,2985.54,2985.54,2984.85,2985.46,108.8208
2026-01-01 02:15:00,2985.45,2987.82,2985.21,2986.11,322.7705
