_open_time,Open,High,Low,Close,Volume
2022-12-01,300.6,302.0,290.0,292.3,798867.735
2022-12-02,292.3,293.9,285.4,293.4,364102.285
2022-12-03,293.4,294.4,289.0,290.4,234377.055
2022-12-04,290.4,292.8,287.4,291.8,244356.783
2022-12-05,291.8,297.2,286.1,288.4,294958.79
2022-12-06,288.5,290.8,286.5,290.2,247911.347
2022-12-07,290.2,290.9,281.1,284.2,361435.528
2022-12-08,284.2,292.0,282.4,290.4,281655.085
2022-12-09,290.4,292.0,284.4,286.0,308418.725
2022-12-10,286.1,289.9,285.7,288.2,148922.633
2022-12-11,288.2,291.4,283.3,284.4,206340.146
2022-12-12,284.5,285.8,271.7,276.1,507509.835
2022-12-13,276.1,282.0,255.6,272.2,1309642.684
2022-12-14,272.2,278.4,265.5,267.7,580082.911
2022-12-15,267.7,268.1,256.5,258.8,350889.164
2022-12-16,258.9,264.7,224.7,231.2,876900.031
2022-12-17,231.2,245.0,220.0,242.1,788798.493
2022-12-18,242.1,254.6,239.5,251.0,526139.427
2022-12-19,251.1,253.3,236.8,240.4,408787.202
2022-12-20,240.3,253.5,239.1,251.4,320509.026
2022-12-21,251.4,251.5,245.2,246.2,195051.385
2022-12-22,246.2,248.3,240.1,245.8,246104.196
2022-12-23,245.9,248.7,243.7,246.2,175280.013
2022-12-24,246.2,246.3,243.4,244.5,96773.731
2022-12-25,244.6,245.8,241.4,243.2,125016.877
2022-12-26,243.2,244.9,242.0,244.3,117117.968
2022-12-27,244.3,248.9,242.1,246.7,196642.12
2022-12-28,246.7,247.4,241.5,244.5,208632.342
2022-12-29,244.6,246.9,243.3,246.3,161959.266
2022-12-30,246.3,246.7,242.7,245.8,128406.533
2022-12-31,245.8,248.0,244.8,246.3,134141.311
