_open_time,Open,High,Low,Close,Volume
2025-12-01,90360.01,90417.0,83822.76,86286.01,34509.01227
2025-12-02,86286.01,92307.65,86184.39,91277.88,28210.22732
2025-12-03,91277.88,94150.0,90990.23,93429.95,25712.52585
2025-12-04,93429.95,94080.0,90889.0,92078.06,19803.94059
2025-12-05,92078.06,92692.36,88056.0,89330.04,19792.97218
2025-12-06,89330.04,90289.97,88908.01,89236.79,8409.50016
2025-12-07,89236.8,91760.0,87719.28,90395.31,13021.11185
2025-12-08,90395.32,92287.15,89612.0,90634.34,15793.63887
2025-12-09,90634.35,94588.99,89500.0,92678.8,21240.43014
2025-12-10,92678.81,94476.0,91563.15,92015.37,18998.68083
2025-12-11,92015.38,93555.0,89260.63,92513.38,19972.58758
2025-12-12,92513.38,92754.0,89480.0,90268.42,16679.19169
2025-12-13,90268.43,90634.55,89766.39,90240.01,5895.70788
2025-12-14,90240.0,90472.4,87577.36,88172.17,9416.94004
2025-12-15,88172.16,90052.64,85146.64,86432.08,19778.6919
2025-12-16,86432.08,88175.98,85266.0,87863.42,18456.05017
2025-12-17,87863.43,90365.85,85314.0,86243.22,19834.11729
2025-12-18,86243.23,89477.61,84450.01,85516.41,25405.41763
2025-12-19,85516.41,89399.97,85110.24,88136.94,21256.65004
2025-12-20,88136.95,88573.07,87795.76,88360.9,5123.13194
2025-12-21,88360.91,89081.77,87600.04,88658.86,7132.87258
2025-12-22,88658.87,90588.23,87900.0,88620.79,14673.2197
2025-12-23,88620.79,88940.0,86601.9,87486.0,13910.32904
2025-12-24,87486.0,88049.89,86420.0,87669.45,9140.8432
2025-12-25,87669.44,88592.74,86934.72,87225.27,7096.58235
2025-12-26,87225.27,89567.75,86655.08,87369.56,18344.61505
2025-12-27,87369.56,87984.0,87253.05,87877.01,4469.55156
2025-12-28,87877.0,88088.75,87435.0,87952.71,4446.29285
2025-12-29,87952.71,90406.08,86806.5,87237.13,19894.98575
2025-12-30,87237.13,89400.0,86845.66,88485.49,13105.91001
2025-12-31,88485.5,89200.0,87250.0,87648.22,11558.62047
