_open_time,Open,High,Low,Close,Volume
2024-01-01,101.72,109.93,101.44,109.91,4403310.37
2024-01-02,109.93,116.95,106.02,106.73,7831366.05
2024-01-03,106.72,109.9,85.0,98.52,12221060.38
2024-01-04,98.52,108.15,96.6,104.91,7235482.95
2024-01-05,104.91,105.48,95.23,99.94,6703567.21
2024-01-06,99.93,100.3,91.53,93.77,5151478.03
2024-01-07,93.77,96.8,87.68,89.44,5547334.15
2024-01-08,89.44,99.97,85.16,97.88,9677497.13
2024-01-09,97.88,104.89,95.25,99.36,8574930.67
2024-01-10,99.36,105.52,91.68,102.0,8634280.07
2024-01-11,101.99,107.32,97.67,99.9,8986682.95
2024-01-12,99.89,100.49,87.0,92.12,6462190.24
2024-01-13,92.14,97.05,89.51,95.85,4054010.92
2024-01-14,95.85,102.87,93.62,93.81,5767904.66
2024-01-15,93.81,96.96,92.97,94.36,3605978.31
2024-01-16,94.35,98.73,94.16,97.61,3768288.08
2024-01-17,97.6,102.8,96.5,102.1,6932306.54
2024-01-18,102.1,103.59,91.41,94.4,6216673.0
2024-01-19,94.39,95.47,87.04,93.62,6357442.75
2024-01-20,93.62,94.27,90.2,92.88,2799385.87
2024-01-21,92.88,93.93,90.79,91.09,2013751.83
2024-01-22,91.08,91.9,82.06,83.84,7065444.82
2024-01-23,83.84,86.0,79.0,84.35,8284305.33
2024-01-24,84.36,89.47,83.3,88.77,6058894.15
2024-01-25,88.77,89.64,85.09,86.91,4002698.2
2024-01-26,86.9,93.72,85.96,92.28,4693818.55
2024-01-27,92.29,94.5,90.68,94.28,2735837.45
2024-01-28,94.27,99.44,93.31,95.98,5618408.23
2024-01-29,95.99,101.98,95.06,101.68,5772519.82
2024-01-30,101.67,106.49,100.95,101.4,6990527.25
2024-01-31,101.4,102.73,95.9,96.96,8609956.87
