_open_time,Open,High,Low,Close,Volume
2019-01-01,6.1139,6.1228,5.7735,5.991,1412914.18
2019-01-02,5.991,6.0939,5.8371,6.051,2130127.0
2019-01-03,6.0445,6.062,5.7739,5.7979,1524726.37
2019-01-04,5.7947,5.99,5.7402,5.9692,1657441.74
2019-01-05,5.9688,6.1043,5.9188,5.9625,1636284.99
2019-01-06,5.9626,6.3888,5.925,6.2688,2511301.27
2019-01-07,6.2681,6.3094,6.0061,6.2009,1683858.68
2019-01-08,6.1979,6.7984,6.1381,6.5128,3946905.61
2019-01-09,6.5197,6.854,6.3386,6.5511,4167653.69
2019-01-10,6.5511,6.5764,5.65,5.8449,3348790.03
2019-01-11,5.844,6.1198,5.6853,5.9595,2559930.81
2019-01-12,5.9552,5.9657,5.8,5.8594,1743319.31
2019-01-13,5.8629,5.8884,5.3733,5.4688,1420692.05
2019-01-14,5.4688,6.062,5.4586,6.0583,2330172.48
2019-01-15,6.0565,6.0649,5.6601,5.8111,1366715.25
2019-01-16,5.8007,6.1817,5.7741,6.0911,2164639.9
2019-01-17,6.0941,6.33,5.9604,6.3266,2312287.74
2019-01-18,6.3152,6.5879,6.2132,6.4867,2495447.22
2019-01-19,6.4887,6.64,6.2435,6.5199,2269437.98
2019-01-20,6.5221,6.6295,6.2401,6.4008,1778376.93
2019-01-21,6.4069,6.515,6.2788,6.4724,1851048.49
2019-01-22,6.4681,6.5088,6.25,6.4736,1854629.75
2019-01-23,6.478,6.53,6.3499,6.4969,1928704.72
2019-01-24,6.4963,6.4963,6.3915,6.4588,1514319.91
2019-01-25,6.4555,6.7502,6.4408,6.6899,2583153.38
2019-01-26,6.689,6.9786,6.6196,6.9463,2734629.11
2019-01-27,6.9453,7.2157,6.7919,7.0396,2776887.68
2019-01-28,7.0399,7.1398,5.94,6.1648,4950985.69
2019-01-29,6.1642,6.2599,5.968,6.1661,2967157.36
2019-01-30,6.1335,6.1999,6.001,6.1388,2238811.59
2019-01-31,6.1384,6.2663,5.9468,6.22,2264988.86
