_open_time,Open,High,Low,Close,Volume
2025-01-01 00:00:00,93576.0,93702.15,93537.5,93661.2,45.9416
2025-01-01 00:05:00,93661.2,93678.02,93600.0,93607.1,71.94585
2025-01-01 00:10:00,93607.1,93656.19,93489.03,93656.18,57.96928
2025-01-01 00:15:00,93656.19,93840.05,93614.95,93796.35,39.74456
2025-01-01 00:20:00,93796.35,93898.05,93707.81,93740.0,38.38053
2025-01-01 00:25:00,93740.0,93761.9,93721.0,93761.9,17.2924
2025-01-01 00:30:00,93761.9,93963.67,93761.89,93882.92,41.20105
2025-01-01 00:35:00,93882.91,93924.61,93836.61,93909.03,29.61201
2025-01-01 00:40:00,93909.03,93952.97,93885.0,93885.01,23.5511
2025-01-01 00:45:00,93885.0,93977.98,93864.44,93977.97,16.0662
2025-01-01 00:50:00,93977.98,94330.59,93964.07,94260.0,153.78843
2025-01-01 00:55:00,94260.0,94509.42,94212.13,94401.14,220.49709
2025-01-01 01:00:00,94401.13,94408.72,94105.2,94118.41,49.21796
2025-01-01 01:05:00,94118.41,94118.41,93880.0,94061.41,192.32691
2025-01-01 01:10:00,94061.41,94172.0,94061.4,94153.05,43.02531
2025-01-01 01:15:00,94153.04,94153.05,93971.28,93990.24,19.83923
2025-01-01 01:20:00,93990.23,93990.89,93850.39,93898.13,32.91057
2025-01-01 01:25:00,93898.14,93935.27,93819.6,93825.86,49.91252
2025-01-01 01:30:00,93825.86,93989.37,93825.86,93970.23,39.8335
2025-01-01 01:35:00,93970.23,93970.24,93893.29,93922.01,29.09079
2025-01-01 01:40:00,93922.01,93971.02,93917.21,93923.14,10.0546
2025-01-01 01:45:00,93923.14,93945.25,93822.46,93854.48,19.38102
2025-01-01 01:50:00,93854.47,93854.48,93578.77,93626.1,85.86737
2025-01-01 01:55:00,93626.1,93645.96,93594.42,93607.74,15.07478
2025-01-01 02:00:00,93607.74,93779.99,93594.56,93753.19,27.44459
2025-01-01 02:05:00,93753.2,93776.34,93674.02,93682.94,22.67176
2025-01-01 02:10:00,93682.94,93805.04,93676.96,93800.0,54.60054
2025-01-01 02:15:00,93800.0,93805.16,93689.48,93765.41,23.19997
2025-01-01 02:20:00,93765.42,93773.19,93702.61,93716.81,13.08729
2025-01-01 02:25:00,93716.81,93742.52,93702.62,93742.52,11.93177
2025-01-01 02:30:00,93742.51,93799.36,93742.51,93773.61,13.91987
2025-01-01 02:35:00,93773.61,93880.0,93773.6,93879.99,12.32596
2025-01-01 02:40:00,93879.99,93921.86,93855.17,93921.86,13.58807
2025-01-01 02:45:00,93921.86,93965.2,93912.0,93934.22,10.69693
2025-01-01 02:50:00,93934.22,94105.12,93934.21,94040.01,54.77784
2025-01-01 02:55:00,94040.01,94098.91,94040.0,94098.91,18.53586
2025-01-01 03:00:00,94098.9,94098.91,93959.89,93988.45,23.57324
2025-01-01 03:05:00,93988.45,94050.5,93965.31,93982.0,21.59699
2025-01-01 03:10:00,93982.0,93992.8,93971.63,93976.01,19.89506
2025-01-01 03:15:00,93976.01,93976.01,93832.13,93849.7,18.2703
2025-01-01 03:20:00,93849.71,93856.0,93766.23,93830.88,22.20545
2025-01-01 03:25:00,93830.89,93848.98,93830.88,93830.89,6.94743
2025-01-01 03:30:00,93830.9,93848.0,93828.01,93829.13,17.10461
2025-01-01 03:35:00,93829.13,93850.31,93800.0,93850.31,13.37962
2025-01-01 03:40:00,93850.31,93891.15,93840.0,93857.04,37.35226
2025-01-01 03:45:00,93857.03,93867.35,93728.22,93786.19,25.41642
2025-01-01 03:50:00,93786.18,93812.0,93786.18,93801.66,8.27912
2025-01-01 03:55:00,93801.66,93838.04,93801.65,93838.04,6.97252
2025-01-01 04:00:00,93838.04,93838.04,93733.28,93797.95,54.89707
