_open_time,Open,High,Low,Close,Volume
2021-01-01,736.42,749.0,714.29,728.91,675114.09329
2021-01-02,728.91,787.69,714.91,774.56,1352618.57668
2021-01-03,774.44,1011.07,768.71,978.28,2813603.88615
2021-01-04,978.33,1162.97,890.0,1041.43,4245010.94004
2021-01-05,1041.45,1134.6,974.45,1099.56,2706995.67525
2021-01-06,1100.16,1213.0,1057.26,1208.42,2390136.59334
2021-01-07,1208.75,1289.0,1131.0,1224.87,1972922.82059
2021-01-08,1224.86,1273.75,1065.0,1216.93,2131172.92341
2021-01-09,1216.72,1304.37,1171.36,1276.0,1448871.11514
2021-01-10,1276.0,1348.33,1170.0,1254.25,1951179.35003
2021-01-11,1254.24,1260.0,915.0,1087.01,4068784.65678
2021-01-12,1087.0,1150.02,1006.33,1050.16,2302645.34052
2021-01-13,1050.36,1137.65,987.48,1129.89,1564202.39081
2021-01-14,1129.79,1247.55,1086.7,1231.62,1555737.38556
2021-01-15,1231.89,1256.98,1069.42,1168.53,1944038.83738
2021-01-16,1168.48,1298.0,1151.77,1227.83,1575384.43797
2021-01-17,1227.83,1269.02,1165.0,1232.45,1317285.00579
2021-01-18,1232.5,1260.75,1182.58,1258.45,998050.11073
2021-01-19,1258.52,1438.3,1251.49,1365.36,2278852.55758
2021-01-20,1365.36,1407.93,1235.42,1376.99,2219137.62144
2021-01-21,1376.72,1390.0,1086.0,1110.96,2254164.80365
2021-01-22,1111.98,1273.79,1042.31,1232.62,2020593.21673
2021-01-23,1232.61,1272.44,1195.9,1233.6,1009545.08258
2021-01-24,1233.46,1398.83,1220.0,1392.51,1510879.53817
2021-01-25,1392.19,1475.0,1293.69,1317.88,1885441.31289
2021-01-26,1317.6,1378.49,1244.56,1365.97,1682923.65799
2021-01-27,1366.54,1373.9,1207.0,1239.03,2009772.08358
2021-01-28,1238.93,1360.0,1217.23,1329.69,1365269.71962
2021-01-29,1329.44,1436.9,1285.35,1379.5,2253963.18682
2021-01-30,1379.56,1406.0,1326.41,1378.05,1040042.2363
2021-01-31,1378.04,1380.74,1281.12,1312.55,958704.85571
