_open_time,Open,High,Low,Close,Volume
2023-10-01,21.37,24.5,21.13,23.87,6416328.5
2023-10-02,23.88,24.8,22.9,23.37,6313085.51
2023-10-03,23.38,24.77,23.21,23.6,5894722.26
2023-10-04,23.61,23.86,22.58,23.13,3945261.33
2023-10-05,23.13,23.76,22.53,22.7,3287722.78
2023-10-06,22.7,23.76,22.66,23.41,4366362.12
2023-10-07,23.41,24.21,23.08,23.3,2949841.72
2023-10-08,23.29,23.64,23.06,23.22,1934466.13
2023-10-09,23.21,23.37,21.59,22.1,4186290.48
2023-10-10,22.09,22.48,21.69,22.11,2334716.24
2023-10-11,22.11,22.43,21.62,22.01,2734211.94
2023-10-12,22.01,22.05,20.93,21.28,2921129.02
2023-10-13,21.29,22.23,21.11,21.84,2403623.09
2023-10-14,21.85,22.31,21.8,22.0,1303774.54
2023-10-15,22.0,22.17,21.66,21.93,1455965.78
2023-10-16,21.93,24.75,21.89,23.95,6973642.82
2023-10-17,23.95,24.56,23.46,23.93,4456015.31
2023-10-18,23.94,24.43,23.36,23.42,2982409.96
2023-10-19,23.41,25.77,23.11,24.93,5889168.99
2023-10-20,24.92,27.5,24.73,27.03,7266627.01
2023-10-21,27.02,30.31,26.65,29.32,9576358.72
2023-10-22,29.33,30.01,28.09,29.05,5567480.03
2023-10-23,29.06,32.81,28.74,31.88,12178546.11
2023-10-24,31.88,32.61,29.5,30.17,11152278.09
2023-10-25,30.18,33.9,30.0,32.44,10582632.89
2023-10-26,32.43,33.28,30.73,32.77,6940180.71
2023-10-27,32.78,33.35,31.2,31.73,6273331.35
2023-10-28,31.73,32.51,31.35,31.63,2594478.41
2023-10-29,31.62,33.19,31.27,32.83,3483834.9
2023-10-30,32.83,35.35,32.28,34.94,7627255.13
2023-10-31,34.94,38.62,34.82,38.4,9267665.69
