_open_time,Open,High,Low,Close,Volume
2020-01-01,129.16,133.05,128.68,130.77,144770.52197
2020-01-02,130.72,130.78,126.38,127.19,213757.05806
2020-01-03,127.19,135.14,125.88,134.35,413055.18895
2020-01-04,134.37,135.85,132.5,134.2,184276.17102
2020-01-05,134.2,138.19,134.19,135.37,254120.45343
2020-01-06,135.37,144.41,134.86,144.15,408020.27375
2020-01-07,144.14,145.31,138.76,142.8,447762.17281
2020-01-08,142.8,147.77,137.03,140.72,570465.57764
2020-01-09,140.76,141.5,135.3,137.74,366076.06569
2020-01-10,137.73,145.17,135.32,144.84,409403.59507
2020-01-11,144.83,148.05,142.09,142.38,368350.57939
2020-01-12,142.4,146.6,141.76,146.54,229541.86137
2020-01-13,146.56,147.0,142.27,143.58,207996.61865
2020-01-14,143.58,171.7,143.51,165.64,1108476.31186
2020-01-15,165.6,171.98,159.2,166.4,721687.80381
2020-01-16,166.4,167.4,157.8,164.21,456170.86719
2020-01-17,164.24,174.81,162.14,169.85,767180.67853
2020-01-18,169.92,179.5,164.92,174.14,688783.17982
2020-01-19,174.1,178.05,161.66,166.79,624681.28604
2020-01-20,166.79,169.33,161.24,166.87,358092.8841
2020-01-21,166.86,170.32,164.8,169.49,308007.6353
2020-01-22,169.48,171.47,166.03,168.07,272240.90286
2020-01-23,168.07,168.2,159.21,162.81,373414.34985
2020-01-24,162.85,164.45,155.55,162.54,430013.19902
2020-01-25,162.51,162.79,157.61,160.35,219921.65197
2020-01-26,160.36,168.08,159.41,167.86,251582.55758
2020-01-27,167.91,172.56,165.22,170.08,365894.81917
2020-01-28,170.04,176.2,170.03,175.64,473433.89609
2020-01-29,175.58,178.45,173.33,173.72,317382.90161
2020-01-30,173.68,187.0,170.93,184.69,477721.6609
2020-01-31,184.71,185.82,175.22,179.99,385596.53365
